url,image_name,accession_number
http://fm-digital-assets.fieldmuseum.org/2818/305/V0616278F.jpg,V0616278F.jpg,1854505
http://fm-digital-assets.fieldmuseum.org/2818/833/V0616279F.jpg,V0616279F.jpg,1724497
http://fm-digital-assets.fieldmuseum.org/2818/790/V0616280F.jpg,V0616280F.jpg,1724634
http://fm-digital-assets.fieldmuseum.org/2818/407/V0616281F.jpg,V0616281F.jpg,1724636
http://fm-digital-assets.fieldmuseum.org/2818/624/V0616282F.jpg,V0616282F.jpg,1805848
http://fm-digital-assets.fieldmuseum.org/2819/331/V0616283F.jpg,V0616283F.jpg,2135201
http://fm-digital-assets.fieldmuseum.org/2818/890/V0616284F.jpg,V0616284F.jpg,1724684
http://fm-digital-assets.fieldmuseum.org/2818/440/V0616285F.jpg,V0616285F.jpg,1729099
http://fm-digital-assets.fieldmuseum.org/2818/720/V0616286F.jpg,V0616286F.jpg,2144323
http://fm-digital-assets.fieldmuseum.org/2819/095/V0616287F.jpg,V0616287F.jpg,2142089
http://fm-digital-assets.fieldmuseum.org/2818/956/V0616288F.jpg,V0616288F.jpg,1724664
http://fm-digital-assets.fieldmuseum.org/2818/889/V0616289F.jpg,V0616289F.jpg,1724556
http://fm-digital-assets.fieldmuseum.org/2818/668/V0616290F.jpg,V0616290F.jpg,1724697
http://fm-digital-assets.fieldmuseum.org/2818/942/V0616291F.jpg,V0616291F.jpg,1715538
http://fm-digital-assets.fieldmuseum.org/2818/690/V0616292F.jpg,V0616292F.jpg,1501050
http://fm-digital-assets.fieldmuseum.org/2818/989/V0616293F.jpg,V0616293F.jpg,1380351
http://fm-digital-assets.fieldmuseum.org/2819/171/V0616294F.jpg,V0616294F.jpg,2190116
http://fm-digital-assets.fieldmuseum.org/2818/520/V0616295F.jpg,V0616295F.jpg,1161323
http://fm-digital-assets.fieldmuseum.org/2818/729/V0616296F.jpg,V0616296F.jpg,1983123
http://fm-digital-assets.fieldmuseum.org/2819/027/V0616297F.jpg,V0616297F.jpg,1633040
http://fm-digital-assets.fieldmuseum.org/2819/248/V0616298F.jpg,V0616298F.jpg,1627914
http://fm-digital-assets.fieldmuseum.org/2818/615/V0616299F.jpg,V0616299F.jpg,1724501
http://fm-digital-assets.fieldmuseum.org/2818/762/V0616300F.jpg,V0616300F.jpg,1989078
